Name,Description,Block
B09[Cl-Si],Presence/absence of Cl - Si at topological distance 9,2D Atom Pairs
B09[Cl-X],Presence/absence of Cl - X at topological distance 9,2D Atom Pairs
B09[Br-Br],Presence/absence of Br - Br at topological distance 9,2D Atom Pairs
B09[Br-I],Presence/absence of Br - I at topological distance 9,2D Atom Pairs
B09[Br-B],Presence/absence of Br - B at topological distance 9,2D Atom Pairs
B09[Br-Si],Presence/absence of Br - Si at topological distance 9,2D Atom Pairs
B09[Br-X],Presence/absence of Br - X at topological distance 9,2D Atom Pairs
B09[I-I],Presence/absence of I - I at topological distance 9,2D Atom Pairs
B09[I-B],Presence/absence of I - B at topological distance 9,2D Atom Pairs
B09[I-Si],Presence/absence of I - Si at topological distance 9,2D Atom Pairs
B09[I-X],Presence/absence of I - X at topological distance 9,2D Atom Pairs
B09[B-B],Presence/absence of B - B at topological distance 9,2D Atom Pairs
B09[B-Si],Presence/absence of B - Si at topological distance 9,2D Atom Pairs
B09[B-X],Presence/absence of B - X at topological distance 9,2D Atom Pairs
B09[Si-Si],Presence/absence of Si - Si at topological distance 9,2D Atom Pairs
B09[Si-X],Presence/absence of Si - X at topological distance 9,2D Atom Pairs
B09[X-X],Presence/absence of X - X at topological distance 9,2D Atom Pairs
B10[C-C],Presence/absence of C - C at topological distance 10,2D Atom Pairs
B10[C-N],Presence/absence of C - N at topological distance 10,2D Atom Pairs
B10[C-O],Presence/absence of C - O at topological distance 10,2D Atom Pairs
B10[C-S],Presence/absence of C - S at topological distance 10,2D Atom Pairs
B10[C-P],Presence/absence of C - P at topological distance 10,2D Atom Pairs
B10[C-F],Presence/absence of C - F at topological distance 10,2D Atom Pairs
B10[C-Cl],Presence/absence of C - Cl at topological distance 10,2D Atom Pairs
B10[C-Br],Presence/absence of C - Br at topological distance 10,2D Atom Pairs
B10[C-I],Presence/absence of C - I at topological distance 10,2D Atom Pairs
B10[C-B],Presence/absence of C - B at topological distance 10,2D Atom Pairs
B10[C-Si],Presence/absence of C - Si at topological distance 10,2D Atom Pairs
B10[C-X],Presence/absence of C - X at topological distance 10,2D Atom Pairs
B10[N-N],Presence/absence of N - N at topological distance 10,2D Atom Pairs
B10[N-O],Presence/absence of N - O at topological distance 10,2D Atom Pairs
B10[N-S],Presence/absence of N - S at topological distance 10,2D Atom Pairs
B10[N-P],Presence/absence of N - P at topological distance 10,2D Atom Pairs
B10[N-F],Presence/absence of N - F at topological distance 10,2D Atom Pairs
B10[N-Cl],Presence/absence of N - Cl at topological distance 10,2D Atom Pairs
B10[N-Br],Presence/absence of N - Br at topological distance 10,2D Atom Pairs
B10[N-I],Presence/absence of N - I at topological distance 10,2D Atom Pairs
B10[N-B],Presence/absence of N - B at topological distance 10,2D Atom Pairs
B10[N-Si],Presence/absence of N - Si at topological distance 10,2D Atom Pairs
B10[N-X],Presence/absence of N - X at topological distance 10,2D Atom Pairs
B10[O-O],Presence/absence of O - O at topological distance 10,2D Atom Pairs
B10[O-S],Presence/absence of O - S at topological distance 10,2D Atom Pairs
B10[O-P],Presence/absence of O - P at topological distance 10,2D Atom Pairs
B10[O-F],Presence/absence of O - F at topological distance 10,2D Atom Pairs
B10[O-Cl],Presence/absence of O - Cl at topological distance 10,2D Atom Pairs
B10[O-Br],Presence/absence of O - Br at topological distance 10,2D Atom Pairs
B10[O-I],Presence/absence of O - I at topological distance 10,2D Atom Pairs
B10[O-B],Presence/absence of O - B at topological distance 10,2D Atom Pairs
B10[O-Si],Presence/absence of O - Si at topological distance 10,2D Atom Pairs
B10[O-X],Presence/absence of O - X at topological distance 10,2D Atom Pairs
B10[S-S],Presence/absence of S - S at topological distance 10,2D Atom Pairs
B10[S-P],Presence/absence of S - P at topological distance 10,2D Atom Pairs
B10[S-F],Presence/absence of S - F at topological distance 10,2D Atom Pairs
B10[S-Cl],Presence/absence of S - Cl at topological distance 10,2D Atom Pairs
B10[S-Br],Presence/absence of S - Br at topological distance 10,2D Atom Pairs
B10[S-I],Presence/absence of S - I at topological distance 10,2D Atom Pairs
B10[S-B],Presence/absence of S - B at topological distance 10,2D Atom Pairs
B10[S-Si],Presence/absence of S - Si at topological distance 10,2D Atom Pairs
B10[S-X],Presence/absence of S - X at topological distance 10,2D Atom Pairs
B10[P-P],Presence/absence of P - P at topological distance 10,2D Atom Pairs
B10[P-F],Presence/absence of P - F at topological distance 10,2D Atom Pairs
B10[P-Cl],Presence/absence of P - Cl at topological distance 10,2D Atom Pairs
B10[P-Br],Presence/absence of P - Br at topological distance 10,2D Atom Pairs
B10[P-I],Presence/absence of P - I at topological distance 10,2D Atom Pairs
B10[P-B],Presence/absence of P - B at topological distance 10,2D Atom Pairs
B10[P-Si],Presence/absence of P - Si at topological distance 10,2D Atom Pairs
B10[P-X],Presence/absence of P - X at topological distance 10,2D Atom Pairs
B10[F-F],Presence/absence of F - F at topological distance 10,2D Atom Pairs
B10[F-Cl],Presence/absence of F - Cl at topological distance 10,2D Atom Pairs
B10[F-Br],Presence/absence of F - Br at topological distance 10,2D Atom Pairs
B10[F-I],Presence/absence of F - I at topological distance 10,2D Atom Pairs
B10[F-B],Presence/absence of F - B at topological distance 10,2D Atom Pairs
B10[F-Si],Presence/absence of F - Si at topological distance 10,2D Atom Pairs
B10[F-X],Presence/absence of F - X at topological distance 10,2D Atom Pairs
B10[Cl-Cl],Presence/absence of Cl - Cl at topological distance 10,2D Atom Pairs
B10[Cl-Br],Presence/absence of Cl - Br at topological distance 10,2D Atom Pairs
B10[Cl-I],Presence/absence of Cl - I at topological distance 10,2D Atom Pairs
B10[Cl-B],Presence/absence of Cl - B at topological distance 10,2D Atom Pairs
B10[Cl-Si],Presence/absence of Cl - Si at topological distance 10,2D Atom Pairs
B10[Cl-X],Presence/absence of Cl - X at topological distance 10,2D Atom Pairs
B10[Br-Br],Presence/absence of Br - Br at topological distance 10,2D Atom Pairs
B10[Br-I],Presence/absence of Br - I at topological distance 10,2D Atom Pairs
B10[Br-B],Presence/absence of Br - B at topological distance 10,2D Atom Pairs
B10[Br-Si],Presence/absence of Br - Si at topological distance 10,2D Atom Pairs
B10[Br-X],Presence/absence of Br - X at topological distance 10,2D Atom Pairs
B10[I-I],Presence/absence of I - I at topological distance 10,2D Atom Pairs
B10[I-B],Presence/absence of I - B at topological distance 10,2D Atom Pairs
B10[I-Si],Presence/absence of I - Si at topological distance 10,2D Atom Pairs
B10[I-X],Presence/absence of I - X at topological distance 10,2D Atom Pairs
B10[B-B],Presence/absence of B - B at topological distance 10,2D Atom Pairs
B10[B-Si],Presence/absence of B - Si at topological distance 10,2D Atom Pairs
B10[B-X],Presence/absence of B - X at topological distance 10,2D Atom Pairs
B10[Si-Si],Presence/absence of Si - Si at topological distance 10,2D Atom Pairs
B10[Si-X],Presence/absence of Si - X at topological distance 10,2D Atom Pairs
B10[X-X],Presence/absence of X - X at topological distance 10,2D Atom Pairs
F01[C-C],Frequency of C - C at topological distance 1,2D Atom Pairs
F01[C-N],Frequency of C - N at topological distance 1,2D Atom Pairs
F01[C-O],Frequency of C - O at topological distance 1,2D Atom Pairs
F01[C-S],Frequency of C - S at topological distance 1,2D Atom Pairs
F01[C-P],Frequency of C - P at topological distance 1,2D Atom Pairs
F01[C-F],Frequency of C - F at topological distance 1,2D Atom Pairs
F01[C-Cl],Frequency of C - Cl at topological distance 1,2D Atom Pairs
F01[C-Br],Frequency of C - Br at topological distance 1,2D Atom Pairs
F01[C-I],Frequency of C - I at topological distance 1,2D Atom Pairs
F01[C-B],Frequency of C - B at topological distance 1,2D Atom Pairs
F01[C-Si],Frequency of C - Si at topological distance 1,2D Atom Pairs
F01[C-X],Frequency of C - X at topological distance 1,2D Atom Pairs
F01[N-N],Frequency of N - N at topological distance 1,2D Atom Pairs
F01[N-O],Frequency of N - O at topological distance 1,2D Atom Pairs
F01[N-S],Frequency of N - S at topological distance 1,2D Atom Pairs
F01[N-P],Frequency of N - P at topological distance 1,2D Atom Pairs
F01[N-F],Frequency of N - F at topological distance 1,2D Atom Pairs
F01[N-Cl],Frequency of N - Cl at topological distance 1,2D Atom Pairs
F01[N-Br],Frequency of N - Br at topological distance 1,2D Atom Pairs
F01[N-I],Frequency of N - I at topological distance 1,2D Atom Pairs
F01[N-B],Frequency of N - B at topological distance 1,2D Atom Pairs
F01[N-Si],Frequency of N - Si at topological distance 1,2D Atom Pairs
F01[N-X],Frequency of N - X at topological distance 1,2D Atom Pairs
F01[O-O],Frequency of O - O at topological distance 1,2D Atom Pairs
F01[O-S],Frequency of O - S at topological distance 1,2D Atom Pairs
F01[O-P],Frequency of O - P at topological distance 1,2D Atom Pairs
F01[O-F],Frequency of O - F at topological distance 1,2D Atom Pairs
F01[O-Cl],Frequency of O - Cl at topological distance 1,2D Atom Pairs
F01[O-Br],Frequency of O - Br at topological distance 1,2D Atom Pairs
F01[O-I],Frequency of O - I at topological distance 1,2D Atom Pairs
F01[O-B],Frequency of O - B at topological distance 1,2D Atom Pairs
F01[O-Si],Frequency of O - Si at topological distance 1,2D Atom Pairs
F01[O-X],Frequency of O - X at topological distance 1,2D Atom Pairs
F01[S-S],Frequency of S - S at topological distance 1,2D Atom Pairs
F01[S-P],Frequency of S - P at topological distance 1,2D Atom Pairs
F01[S-F],Frequency of S - F at topological distance 1,2D Atom Pairs
F01[S-Cl],Frequency of S - Cl at topological distance 1,2D Atom Pairs
F01[S-Br],Frequency of S - Br at topological distance 1,2D Atom Pairs
F01[S-I],Frequency of S - I at topological distance 1,2D Atom Pairs
F01[S-B],Frequency of S - B at topological distance 1,2D Atom Pairs
F01[S-Si],Frequency of S - Si at topological distance 1,2D Atom Pairs
F01[S-X],Frequency of S - X at topological distance 1,2D Atom Pairs
F01[P-P],Frequency of P - P at topological distance 1,2D Atom Pairs
F01[P-F],Frequency of P - F at topological distance 1,2D Atom Pairs
F01[P-Cl],Frequency of P - Cl at topological distance 1,2D Atom Pairs
F01[P-Br],Frequency of P - Br at topological distance 1,2D Atom Pairs
F01[P-I],Frequency of P - I at topological distance 1,2D Atom Pairs
F01[P-B],Frequency of P - B at topological distance 1,2D Atom Pairs
F01[P-Si],Frequency of P - Si at topological distance 1,2D Atom Pairs
F01[P-X],Frequency of P - X at topological distance 1,2D Atom Pairs
F01[F-F],Frequency of F - F at topological distance 1,2D Atom Pairs
F01[F-Cl],Frequency of F - Cl at topological distance 1,2D Atom Pairs
F01[F-Br],Frequency of F - Br at topological distance 1,2D Atom Pairs
F01[F-I],Frequency of F - I at topological distance 1,2D Atom Pairs
F01[F-B],Frequency of F - B at topological distance 1,2D Atom Pairs
F01[F-Si],Frequency of F - Si at topological distance 1,2D Atom Pairs
F01[F-X],Frequency of F - X at topological distance 1,2D Atom Pairs
F01[Cl-Cl],Frequency of Cl - Cl at topological distance 1,2D Atom Pairs
F01[Cl-Br],Frequency of Cl - Br at topological distance 1,2D Atom Pairs
F01[Cl-I],Frequency of Cl - I at topological distance 1,2D Atom Pairs
F01[Cl-B],Frequency of Cl - B at topological distance 1,2D Atom Pairs
F01[Cl-Si],Frequency of Cl - Si at topological distance 1,2D Atom Pairs
F01[Cl-X],Frequency of Cl - X at topological distance 1,2D Atom Pairs
F01[Br-Br],Frequency of Br - Br at topological distance 1,2D Atom Pairs
F01[Br-I],Frequency of Br - I at topological distance 1,2D Atom Pairs
F01[Br-B],Frequency of Br - B at topological distance 1,2D Atom Pairs
F01[Br-Si],Frequency of Br - Si at topological distance 1,2D Atom Pairs
F01[Br-X],Frequency of Br - X at topological distance 1,2D Atom Pairs
F01[I-I],Frequency of I - I at topological distance 1,2D Atom Pairs
F01[I-B],Frequency of I - B at topological distance 1,2D Atom Pairs
F01[I-Si],Frequency of I - Si at topological distance 1,2D Atom Pairs
F01[I-X],Frequency of I - X at topological distance 1,2D Atom Pairs
F01[B-B],Frequency of B - B at topological distance 1,2D Atom Pairs
F01[B-Si],Frequency of B - Si at topological distance 1,2D Atom Pairs
F01[B-X],Frequency of B - X at topological distance 1,2D Atom Pairs
F01[Si-Si],Frequency of Si - Si at topological distance 1,2D Atom Pairs
F01[Si-X],Frequency of Si - X at topological distance 1,2D Atom Pairs
F01[X-X],Frequency of X - X at topological distance 1,2D Atom Pairs
F02[C-C],Frequency of C - C at topological distance 2,2D Atom Pairs
F02[C-N],Frequency of C - N at topological distance 2,2D Atom Pairs
F02[C-O],Frequency of C - O at topological distance 2,2D Atom Pairs
F02[C-S],Frequency of C - S at topological distance 2,2D Atom Pairs
F02[C-P],Frequency of C - P at topological distance 2,2D Atom Pairs
F02[C-F],Frequency of C - F at topological distance 2,2D Atom Pairs
F02[C-Cl],Frequency of C - Cl at topological distance 2,2D Atom Pairs
F02[C-Br],Frequency of C - Br at topological distance 2,2D Atom Pairs
F02[C-I],Frequency of C - I at topological distance 2,2D Atom Pairs
F02[C-B],Frequency of C - B at topological distance 2,2D Atom Pairs
F02[C-Si],Frequency of C - Si at topological distance 2,2D Atom Pairs
F02[C-X],Frequency of C - X at topological distance 2,2D Atom Pairs
F02[N-N],Frequency of N - N at topological distance 2,2D Atom Pairs
F02[N-O],Frequency of N - O at topological distance 2,2D Atom Pairs
F02[N-S],Frequency of N - S at topological distance 2,2D Atom Pairs
F02[N-P],Frequency of N - P at topological distance 2,2D Atom Pairs
F02[N-F],Frequency of N - F at topological distance 2,2D Atom Pairs
F02[N-Cl],Frequency of N - Cl at topological distance 2,2D Atom Pairs
F02[N-Br],Frequency of N - Br at topological distance 2,2D Atom Pairs
F02[N-I],Frequency of N - I at topological distance 2,2D Atom Pairs
F02[N-B],Frequency of N - B at topological distance 2,2D Atom Pairs
F02[N-Si],Frequency of N - Si at topological distance 2,2D Atom Pairs
F02[N-X],Frequency of N - X at topological distance 2,2D Atom Pairs
F02[O-O],Frequency of O - O at topological distance 2,2D Atom Pairs
F02[O-S],Frequency of O - S at topological distance 2,2D Atom Pairs
F02[O-P],Frequency of O - P at topological distance 2,2D Atom Pairs
F02[O-F],Frequency of O - F at topological distance 2,2D Atom Pairs
F02[O-Cl],Frequency of O - Cl at topological distance 2,2D Atom Pairs
F02[O-Br],Frequency of O - Br at topological distance 2,2D Atom Pairs
F02[O-I],Frequency of O - I at topological distance 2,2D Atom Pairs
F02[O-B],Frequency of O - B at topological distance 2,2D Atom Pairs
F02[O-Si],Frequency of O - Si at topological distance 2,2D Atom Pairs
F02[O-X],Frequency of O - X at topological distance 2,2D Atom Pairs
F02[S-S],Frequency of S - S at topological distance 2,2D Atom Pairs
F02[S-P],Frequency of S - P at topological distance 2,2D Atom Pairs
F02[S-F],Frequency of S - F at topological distance 2,2D Atom Pairs
F02[S-Cl],Frequency of S - Cl at topological distance 2,2D Atom Pairs
F02[S-Br],Frequency of S - Br at topological distance 2,2D Atom Pairs
F02[S-I],Frequency of S - I at topological distance 2,2D Atom Pairs
F02[S-B],Frequency of S - B at topological distance 2,2D Atom Pairs
F02[S-Si],Frequency of S - Si at topological distance 2,2D Atom Pairs
F02[S-X],Frequency of S - X at topological distance 2,2D Atom Pairs
F02[P-P],Frequency of P - P at topological distance 2,2D Atom Pairs
F02[P-F],Frequency of P - F at topological distance 2,2D Atom Pairs
F02[P-Cl],Frequency of P - Cl at topological distance 2,2D Atom Pairs
